FID,PlotID,EstablishD,Easting,Northing,PlotKey,Forb_herb,Graminoid,HL,None,Shrub,Subshrub,Tree,WL,RASTERVALU
0,WM02,2015-06-18T06:00:00Z,171331.000000000000000,4228816.000000000000000,150805120852000.000000000000000,0.013333333333333334,0.12000000000000001,0.553333333333000,0.340000000000000,0.3333333333333333,NA,NA,0.08666666666666667,-9999.000000000000000
1,EM02,2015-06-17T06:00:00Z,174496.000000000000000,4228084.000000000000000,150805121608000.000000000000000,0.013333333333333334,0.19999999999999998,0.426666666667000,0.393333333333000,0.24,NA,0.013333333333333334,0.04,0.000000000000000
2,10_DENSE,2016-06-07T06:00:00Z,174198.000000000000000,4225619.000000000000000,160801150635000.000000000000000,0.060000000000000005,0.47333333333333333,0.546666666667000,0.240000000000000,0.2333333333333333,NA,NA,0.13333333333333333,1591.549438479999900
3,PR200,2017-06-14T06:00:00Z,157135.000000000000000,4206409.000000000000000,170801155135000.000000000000000,0.06666666666666667,0.26,0.646666666667000,0.480000000000000,0.16666666666666666,0.10666666666666667,NA,0.02666666666666667,-9999.000000000000000
4,SST01,2017-06-21T06:00:00Z,174868.302279000000000,4225091.445589999700000,170922122251000.000000000000000,0.013333333333333334,0.2733333333333333,0.586666666667000,0.573333333333000,0.24666666666666665,NA,NA,0.02666666666666667,0.000000000000000
5,TR02,2015-06-09T06:00:00Z,183302.000000000000000,4216105.000000000000000,1508051022470000.000000000000000,0.3066666666666667,0.3466666666666667,0.733333333333000,0.166666666667000,0.17333333333333334,0.013333333333333334,NA,0.02666666666666667,0.000000000000000
6,TR01,2015-06-09T06:00:00Z,187647.000000000000000,4218063.000000000000000,1508051100350000.000000000000000,0.04,0.09333333333333334,0.360000000000000,0.546666666667000,0.22,0.006666666666666667,NA,NA,0.000000000000000
7,WH10,2015-06-18T06:00:00Z,180574.000000000000000,4223918.000000000000000,1508051105200000.000000000000000,0.02666666666666667,0.38,0.540000000000000,0.266666666667000,0.08,0.02666666666666667,0.04,0.02,0.000000000000000
8,WH11,2015-06-18T06:00:00Z,180540.000000000000000,4224532.000000000000000,1508051136130000.000000000000000,0.11333333333333334,0.47333333333333333,0.493333333333000,0.253333333333000,0.14,0.02,0.013333333333333334,0.02,0.000000000000000
9,WH03,2015-06-09T06:00:00Z,179770.000000000000000,4222986.000000000000000,1508051139300000.000000000000000,0.07333333333333333,0.5866666666666667,0.580000000000000,0.166666666667000,0.11333333333333333,NA,NA,0.04,795.774719237999990
10,IM03,2015-06-16T06:00:00Z,175580.000000000000000,4222823.000000000000000,1508051144560000.000000000000000,0.11333333333333334,0.10666666666666667,0.273333333333000,0.613333333333000,0.013333333333333334,0.006666666666666667,NA,NA,0.000000000000000
11,IM01,2015-06-16T06:00:00Z,170925.000000000000000,4225378.000000000000000,1508051156590000.000000000000000,0.10666666666666667,0.6133333333333334,0.586666666667000,0.093333333333300,0.03333333333333333,0.1,NA,0.04666666666666667,-9999.000000000000000
12,SS04,2015-06-04T06:00:00Z,177166.000000000000000,4224082.000000000000000,1508051202370000.000000000000000,0.04,0.34,0.466666666667000,0.266666666667000,0.15333333333333332,0.006666666666666667,NA,NA,0.000000000000000
