Symbol,Scientific Name,Growth Habit
ABIES,Abies,
ABCO,Abies concolor,Tree
ABLA,Abies lasiocarpa,Tree
ABLAA,Abies lasiocarpa var. arizonica,Tree
ABLAL,Abies lasiocarpa var. lasiocarpa,Tree
ABRON,Abronia,
ABAR,Abronia argillosa,Forb/herb
ABCA,Abronia carletonii,Forb/herb
ABEL,Abronia elliptica,Forb/herb
ABFR2,Abronia fragrans,Forb/herb
ABNA,Abronia nana,Forb/herb
ABNAN,Abronia nana var. nana,Forb/herb
ABUTI,Abutilon,
ABIN,Abutilon incanum,"Subshrub, Forb/herb"
ABPA3,Abutilon parvulum,"Subshrub, Forb/herb"
ABTH,Abutilon theophrasti,Forb/herb
ACARO2,Acarospora,
ACER,Acer,
ACGL,Acer glabrum,"Shrub, Tree"
ACGLG2,Acer glabrum var. glabrum,"Shrub, Tree"
ACGLN2,Acer glabrum var. neomexicanum,"Tree, Shrub"
ACGR3,Acer grandidentatum,"Tree, Shrub"
ACGRG,Acer grandidentatum var. grandidentatum,"Shrub, Tree"
ACNE2,Acer negundo,Tree
ACNEI2,Acer negundo var. interius,Tree
ACNEN,Acer negundo var. negundo,Tree
ACNEV,Acer negundo var. violaceum,Tree
ACHIL,Achillea,
ACMI2,Achillea millefolium,Forb/herb
ACMIA,Achillea millefolium var. alpicola,Forb/herb
ACMIO,Achillea millefolium var. occidentalis,Forb/herb
ACHNA,Achnatherum,
ACBL,Achnatherum ×bloomeri,Graminoid
ACAR14,Achnatherum aridum,Graminoid
ACCO22,Achnatherum contractum,Graminoid
ACHY,Achnatherum hymenoides,Graminoid
ACLE9,Achnatherum lettermanii,Graminoid
ACNE9,Achnatherum nelsonii,Graminoid
ACNED,Achnatherum nelsonii ssp. dorei,Graminoid
ACNEN2,Achnatherum nelsonii ssp. nelsonii,Graminoid
ACNE10,Achnatherum nevadense,Graminoid
ACOC3,Achnatherum occidentale,Graminoid
ACOCP,Achnatherum occidentale ssp. pubescens,Graminoid
ACPI2,Achnatherum pinetorum,Graminoid
ACRI8,Achnatherum richardsonii,Graminoid
ACRO7,Achnatherum robustum,Graminoid
ACSC11,Achnatherum scribneri,Graminoid
ACSP12,Achnatherum speciosum,Graminoid
ACTH7,Achnatherum thurberianum,Graminoid
ACWE3,Achnatherum webberi,Graminoid
ACONI,Aconitum,
ACCO4,Aconitum columbianum,Forb/herb
ACCOC3,Aconitum columbianum ssp. columbianum,Forb/herb
ACORU,Acorus,
ACCA4,Acorus calamus,Forb/herb
ACROP,Acroptilon,
ACRE3,Acroptilon repens,Forb/herb
ACTAE,Actaea,
ACRU2,Actaea rubra,Forb/herb
ACRUA8,Actaea rubra ssp. arguta,Forb/herb
ADIAN,Adiantum,
ADAL,Adiantum aleuticum,Forb/herb
ADCA,Adiantum capillus-veneris,Forb/herb
ADOXA,Adoxa,
ADMO,Adoxa moschatellina,Forb/herb
AEGIL,Aegilops,
AECY,Aegilops cylindrica,Graminoid
AGALI,Agalinis,
AGTE3,Agalinis tenuifolia,Forb/herb
AGTEP2,Agalinis tenuifolia var. parviflora,Forb/herb
AGAST,Agastache,
