Symbol,Synonym Symbol,Scientific Name with Author,National Common Name,Family,Growth Habit
ACARO2,NA,Acarospora A. Massal.,cracked lichen,Acarosporaceae,NA
ACER,NA,Acer L.,maple,Aceraceae,NA
ACGL,NA,Acer glabrum Torr.,Rocky Mountain maple,Aceraceae,"Shrub, Tree"
ACGLG2,NA,Acer glabrum Torr. var. glabrum,Rocky Mountain maple,Aceraceae,"Shrub, Tree"
ACGLN2,NA,Acer glabrum Torr. var. neomexicanum (Greene) Kearney & Peebles,New Mexico maple,Aceraceae,"Tree, Shrub"
ACGR3,NA,Acer grandidentatum Nutt.,bigtooth maple,Aceraceae,"Tree, Shrub"
ACGRG,NA,Acer grandidentatum Nutt. var. grandidentatum,bigtooth maple,Aceraceae,"Shrub, Tree"
ACNE2,NA,Acer negundo L.,boxelder,Aceraceae,Tree
ACNEI2,NA,Acer negundo L. var. interius (Britton) Sarg.,boxelder,Aceraceae,Tree
ACNEN,NA,Acer negundo L. var. negundo,boxelder,Aceraceae,Tree
ACNEV,NA,Acer negundo L. var. violaceum (G. Kirchn.) H. Jaeger,boxelder,Aceraceae,Tree
ACCA4,NA,Acorus calamus L.,calamus,Acoraceae,Forb/herb
ACORU,NA,Acorus L.,sweetflag,Acoraceae,NA
ADMO,NA,Adoxa moschatellina L.,muskroot,Adoxaceae,Forb/herb
ADOXA,NA,Adoxa L.,adoxa,Adoxaceae,NA
YUAN2,NA,Yucca angustissima Engelm. ex Trel.,narrowleaf yucca,Agavaceae,"Shrub, Forb/herb, Subshrub"
YUANA2,NA,Yucca angustissima Engelm. ex Trel. var. angustissima,narrowleaf yucca,Agavaceae,"Subshrub, Forb/herb, Shrub"
YUBA,NA,Yucca baccata Torr.,banana yucca,Agavaceae,"Subshrub, Forb/herb, Shrub"
YUBA2,NA,Yucca baileyi Wooton & Standl.,Navajo yucca,Agavaceae,"Shrub, Forb/herb, Subshrub"
YUBAB3,NA,Yucca baileyi Wooton & Standl. var. baileyi,Navajo yucca,Agavaceae,"Subshrub, Forb/herb, Shrub"
YUCCA,NA,Yucca L.,yucca,Agavaceae,NA
YUGL,NA,Yucca glauca Nutt.,soapweed yucca,Agavaceae,"Subshrub, Shrub, Forb/herb"
YUGLG,NA,Yucca glauca Nutt. var. gurneyi McKelvey,Gurney's yucca,Agavaceae,"Subshrub, Shrub, Forb/herb"
YUGLG2,NA,Yucca glauca Nutt. var. glauca,soapweed yucca,Agavaceae,"Forb/herb, Shrub, Subshrub"
YUHA,NA,Yucca harrimaniae Trel.,Spanish bayonet,Agavaceae,"Forb/herb, Shrub, Subshrub"
YUHAH,NA,Yucca harrimaniae Trel. var. harrimaniae,Spanish bayonet,Agavaceae,"Subshrub, Shrub, Forb/herb"
YUHAN,NA,Yucca harrimaniae Trel. var. neomexicana (Wooton & Standl.) Reveal,New Mexico Spanish bayonet,Agavaceae,"Forb/herb, Shrub, Subshrub"
SESUV,NA,Sesuvium L.,seapurslane,Aizoaceae,NA
SEVE2,NA,Sesuvium verrucosum Raf.,verrucose seapurslane,Aizoaceae,Forb/herb
TRIAN,NA,Trianthema L.,trianthema,Aizoaceae,NA
TRPO2,NA,Trianthema portulacastrum L.,desert horsepurslane,Aizoaceae,Forb/herb
ALGR,NA,Alisma gramineum Lej.,narrowleaf water plantain,Alismataceae,Forb/herb
ALISM,NA,Alisma L.,water plantain,Alismataceae,NA
ALSU,NA,Alisma subcordatum Raf.,American water plantain,Alismataceae,Forb/herb
ALTR7,NA,Alisma triviale Pursh,northern water plantain,Alismataceae,Forb/herb
SABR8,NA,Sagittaria brevirostra Mack. & Bush,shortbeak arrowhead,Alismataceae,Forb/herb
SACA21,NA,Sagittaria calycina Engelm.,hooded arrowhead,Alismataceae,Forb/herb
SACAC,NA,Sagittaria calycina Engelm. var. calycina,hooded arrowhead,Alismataceae,Forb/herb
SACU,NA,Sagittaria cuneata Sheldon,arumleaf arrowhead,Alismataceae,Forb/herb
SAGIT,NA,Sagittaria L.,arrowhead,Alismataceae,NA
SAGR,NA,Sagittaria graminea Michx.,grassy arrowhead,Alismataceae,Forb/herb
SAGRG,NA,Sagittaria graminea Michx. var. graminea,grassy arrowhead,Alismataceae,Forb/herb
SALA2,NA,Sagittaria latifolia Willd.,broadleaf arrowhead,Alismataceae,Forb/herb
SALO2,NA,Sagittaria longiloba Engelm. ex J.G. Sm.,longbarb arrowhead,Alismataceae,Forb/herb
AMAL,NA,Amaranthus albus L.,prostrate pigweed,Amaranthaceae,Forb/herb
AMAR,NA,Amaranthus arenicola I.M. Johnst.,sandhill amaranth,Amaranthaceae,Forb/herb
AMARA,NA,Amaranthus L.,pigweed,Amaranthaceae,NA
AMBL,NA,Amaranthus blitoides S. Watson,mat amaranth,Amaranthaceae,Forb/herb
AMHY,NA,Amaranthus hybridus L.,slim amaranth,Amaranthaceae,Forb/herb
AMPA,NA,Amaranthus palmeri S. Watson,carelessweed,Amaranthaceae,Forb/herb
AMPO2,NA,Amaranthus powellii S. Watson,Powell's amaranth,Amaranthaceae,Forb/herb
AMPOP,NA,Amaranthus powellii S. Watson ssp. powellii,Powell's amaranth,Amaranthaceae,Forb/herb
AMRE,NA,Amaranthus retroflexus L.,redroot amaranth,Amaranthaceae,Forb/herb
AMTU,NA,Amaranthus tuberculatus (Moq.) Sauer,roughfruit amaranth,Amaranthaceae,Forb/herb
AMWR,NA,Amaranthus wrightii S. Watson,Wright's amaranth,Amaranthaceae,Forb/herb
FRFL,NA,Froelichia floridana (Nutt.) Moq.,plains snakecotton,Amaranthaceae,Forb/herb
FRFLC,NA,Froelichia floridana (Nutt.) Moq. var. campestris (Small) Fernald,plains snakecotton,Amaranthaceae,Forb/herb
FRGR3,NA,Froelichia gracilis (Hook.) Moq.,slender snakecotton,Amaranthaceae,Forb/herb
FROEL,NA,Froelichia Moench,snakecotton,Amaranthaceae,NA
GUDE,NA,Guilleminea densa (Humb. & Bonpl. ex Schult.) Moq.,small matweed,Amaranthaceae,Forb/herb
GUDED,NA,Guilleminea densa (Humb. & Bonpl. ex Schult.) Moq. var. densa,small matweed,Amaranthaceae,Forb/herb
GUILL,NA,Guilleminea Kunth,matweed,Amaranthaceae,NA
TIDES,NA,Tidestromia Standl.,honeysweet,Amaranthaceae,NA
TILA2,NA,Tidestromia lanuginosa (Nutt.) Standl.,woolly tidestromia,Amaranthaceae,Forb/herb
RHGL,NA,Rhus glabra L.,smooth sumac,Anacardiaceae,"Tree, Shrub"
