PlotID,EstablishDate,Datum,Zone,Easting,Northing,PlotKey
10_GUSG_CONTROL,2016-06-15T06:00:00Z,NAD83,13N,187112,4216492,1606201300303077
3_GUSG_CONTROL,2016-06-14T06:00:00Z,NAD83,13N,176288,4222685,1606280717268421
14_GROUSEPR,2016-06-15T06:00:00Z,NAD83,13N,177663,4223372,1606280946049792
3_GROUSEPR,2016-06-15T06:00:00Z,NAD83,13n,190178,4214869,1606281439595087
4_GROUSEPR,2016-06-15T06:00:00Z,NAD83,13N,189088,4215592,1606281607269949
6_GROUSEPR,2016-06-13T06:00:00Z,NAD83,13N,184840,4217673,1606291521264362
7_GROUSEPR,2016-06-06T06:00:00Z,NAD 83,13N,189088,4215592,1606291533382155
8_GROUSEPR,2016-06-06T06:00:00Z,NAD83,13N,182885,4218473,1606301437015102
9_GROUSEPR,2016-06-06T06:00:00Z,NAD83,13N,182521,4218966,1607111014145983
10_GROUSEPR,2016-06-09T06:00:00Z,NAD83,13N,179753,4221541,1607111146582435
11_GROUSEPR,2016-06-07T06:00:00Z,NAD83,13N,178672,4222119,1607111240211548
12_GROUSEPR,2016-06-14T06:00:00Z,NAD83,13N,174158,4222879,1607111328229217
13_GROUSEPR,2016-06-15T06:00:00Z,NAD83,13N,176576,4223338,1607111428409105
1_GUSG_CONTROL,2016-06-14T06:00:00Z,NAD83,13N,178698,4219907,1607111528245758
2_GUSG_CONTROL,2016-06-15T06:00:00Z,NAD83,13N,185757,4218365,1607111630033469
4_GUSG_CONTROL,2016-06-14T06:00:00Z,NAD83,13N,182334,4220418,1607130836562783
5_GUSG_CONTROL,2016-06-14T06:00:00Z,NAD83,13N,177824,4222215,1607141548239289
6_GUSG_CONTROL,2016-06-09T06:00:00Z,NAD83,13N,183959,4216199,1607150747523106
7_GUSG_CONTROL,2016-06-15T06:00:00Z,NAD83,13N,184591,4221280,1607150848543124
8_GUSG_CONTROL,2016-06-13T06:00:00Z,NAD83,13N,180541,4218732,1607151106423529
11_GUSG_CONTROL,2016-06-13T06:00:00Z,NAD83,13N,181256,4216732,1607221316417331
12_GUSG_CONTROL,2016-06-13T06:00:00Z,NAD 83,13N,185250,4217434,1607261242373761
14_GUSG_CONTROL,2016-06-15T06:00:00Z,NAD83,13N,179408,4219177,1607261400403713
1_DENSE,2016-06-07T06:00:00Z,NAD83,13N,179409,4222342,1607261513153310
4_DENSE,2016-06-07T06:00:00Z,NAD83,13N,180719,4222520,1607261607234304
5_DENSE,2016-06-07T06:00:00Z,NAD83,13N,181008,4222011,1607270743351840
12_DENSE,2016-06-14T06:00:00Z,NAD83,13N,174483,4223781,1607270831559672
11_DENSE,2016-06-07T06:00:00Z,NAD83,13N,174300,4225193,1608011232206899
10_DENSE,2016-06-07T06:00:00Z,NAD83,13N,174198,4225619,160801150634615
7_DENSE,2016-06-09T06:00:00Z,NAD83,13N,184790,4216541,1608031358567749
8_DENSE,2016-06-06T06:00:00Z,NAD83,13N,182225,4218832,1608031508414280
3_DENSE,2016-06-14T06:00:00Z,NAD 83,13N,180014,4222601,1608040733521244
2_DENSE,2016-06-09T06:00:00Z,NAD 83,13,180558,4221623,1611211120272718
SG_28_calibration,2016-05-31T06:00:00Z,NAD83,,0,0,1611221610381352
9_DENSE,2016-06-13T06:00:00Z,NAD83,13N,181662,4218346,1608011631023302
6_DENSE,2016-06-09T06:00:00Z,NAD83,13N,180141,4221912,1608021636033656
