PlotID,EstablishDate,Easting,Northing,ARNO4,ARTR2
WM02,2015-06-18T06:00:00Z,171331,4228816,0,0.32
EM02,2015-06-17T06:00:00Z,174496,4228084,0,0.23333333333333334
TR02,2015-06-09T06:00:00Z,183302,4216105,0,0.17333333333333334
TR01,2015-06-09T06:00:00Z,187647,4218063,0,0.22
WH10,2015-06-18T06:00:00Z,180574,4223918,0.08,0
WH11,2015-06-18T06:00:00Z,180540,4224532,0.02,0.1
WH03,2015-06-09T06:00:00Z,179770,4222986,0,0.11333333333333333
IM03,2015-06-16T06:00:00Z,175580,4222823,0.013333333333333334,0
IM01,2015-06-16T06:00:00Z,170925,4225378,0,0.02
SS04,2015-06-04T06:00:00Z,177166,4224082,0,0.15333333333333332
SS02,2015-06-16T06:00:00Z,174171,4226990,0,0.21333333333333335
WM01,2015-06-17T06:00:00Z,170287,4228899,0,0.2866666666666667
EM01,2015-06-17T06:00:00Z,173664,4232060,0,0.11333333333333333
