PlotID,EstablishDate,Easting,Northing,V1,ACLA,ACMI2,ADLE,AECY,AMUT,ARCO5,ARLU,ARNO4,ARTR2,ASTRA,BRIN2,BRTE,CELE3,CEMO2,CHDE,CHVI8,COAR4,COHI4,COUM,ELEL5,ERIGE,ERIGE2,ERRA3,ERUM,GUSA2,HECO26,HEMU3,HL,JUOS,KRLA2,LASE,LELU,LIIN2,LODI,LOTR2,LUBA3,MARE11,None,OPFR,OPPO,PASM,PECE,PECR5,PENST,PEPU7,PEST2,PHLO2,PIED,POBU,POFE,POPR,PUST,QUGA,SEIN2,SPCO,SPCR,SYLO,TEIV,TRDU,TRDY,TRGY,WL,WYAR,WYLA,ZIPA2
PR200,2017-06-14T06:00:00Z,157135,4206409,3.1933333333333334,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0.013333333333333334,0,0,0,0,0,0,0.006666666666666667,0,0,0.10666666666666667,0,0,0.6466666666666666,0,0,0,0,0,0,0,0,0,0.48,0.006666666666666667,0,0,0.006666666666666667,0,0,0.013333333333333334,0.006666666666666667,0,0,0,0.03333333333333333,0,0,0,0,0.006666666666666667,0,0,0,0,0.006666666666666667,0.013333333333333334,0.02666666666666667,0,0,0.006666666666666667
PR11,2017-06-14T06:00:00Z,144997,4187260,3.2333333333333334,0,0,0,0.05333333333333334,0,0,0,0,0.19333333333333333,0,0,0.13333333333333333,0,0,0,0.006666666666666667,0.006666666666666667,0,0,0.03333333333333333,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0.013333333333333334,0,0.3933333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013333333333333334,0.16666666666666666,0,0,0,0,0,0.04,0,0,0
PR09,2017-06-07T06:00:00Z,145716,4189582,3.3266666666666667,0,0,0,0,0,0,0,0,0.30666666666666664,0.006666666666666667,0,0,0,0,0,0.006666666666666667,0,0,0,0.006666666666666667,0,0,0,0,0,0,0,0.41333333333333333,0,0,0,0,0,0,0,0.013333333333333334,0,0.4066666666666667,0,0,0,0,0,0,0,0,0,0,0,0.006666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.013333333333333334,0,0,0
PR08,2017-06-13T06:00:00Z,161648,4192030,3.013333333333333,0,0,0,0,0.006666666666666667,0,0,0,0.12,0,0,0,0,0.02666666666666667,0,0,0,0,0.006666666666666667,0.013333333333333334,0,0,0,0.006666666666666667,0.02,0,0.006666666666666667,0.7533333333333333,0,0,0,0,0,0,0.006666666666666667,0,0,0.30666666666666664,0,0,0.02,0,0.013333333333333334,0,0.013333333333333334,0,0,0.15333333333333332,0,0.15333333333333332,0,0.013333333333333334,0.2866666666666667,0,0,0,0,0,0,0,0,0.04666666666666667,0.013333333333333334,0,0
PR1100,2017-06-12T06:00:00Z,161355,4188689,3.0733333333333333,0,0.006666666666666667,0,0,0.04,0,0.02,0,0.08666666666666667,0,0.006666666666666667,0.006666666666666667,0.14,0.03333333333333333,0,0,0,0,0,0.02,0.006666666666666667,0,0,0,0.013333333333333334,0.03333333333333333,0,0.7,0.06666666666666667,0,0.006666666666666667,0,0,0,0,0,0,0.38666666666666666,0,0.006666666666666667,0,0,0,0.006666666666666667,0.02666666666666667,0,0,0,0.02,0.06,0,0,0.11333333333333333,0,0,0,0.03333333333333333,0,0,0,0,0.08666666666666667,0,0,0
PR05,2017-06-19T06:00:00Z,145562,4188052,3.28,0,0,0,0,0,0,0,0,0.31333333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0.02,0,0.5533333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013333333333333334,0,0,0
PR04,2017-06-14T06:00:00Z,161078,4199084,2.72,0.02666666666666667,0.013333333333333334,0.05333333333333334,0,0.04666666666666667,0.03333333333333333,0,0,0.08,0,0.03333333333333333,0,0,0,0.02666666666666667,0,0,0.006666666666666667,0,0.013333333333333334,0.04666666666666667,0,0,0.02,0.006666666666666667,0,0,0.8666666666666667,0,0,0,0,0,0,0,0,0.02666666666666667,0.32666666666666666,0,0,0.013333333333333334,0,0,0.006666666666666667,0.02,0.006666666666666667,0.04,0,0,0.09333333333333334,0,0.12666666666666668,0.08666666666666667,0.006666666666666667,0,0,0.05333333333333334,0,0.013333333333333334,0,0,0.11333333333333333,0.013333333333333334,0.006666666666666667,0
PR01,2017-06-13T06:00:00Z,162305,4195365,2.68,0,0.04,0,0,0.013333333333333334,0.013333333333333334,0.02,0,0.1,0,0.006666666666666667,0.013333333333333334,0.08,0,0.013333333333333334,0,0,0,0.006666666666666667,0,0.006666666666666667,0,0.006666666666666667,0,0.006666666666666667,0.10666666666666667,0,0.8333333333333334,0,0.013333333333333334,0,0,0.006666666666666667,0,0,0,0.03333333333333333,0.2,0,0,0.07333333333333333,0,0,0,0.013333333333333334,0,0,0,0,0.1,0.006666666666666667,0.13333333333333333,0.3,0,0,0,0.03333333333333333,0,0,0,0,0.07333333333333333,0.02,0,0
PR1000,2017-06-12T06:00:00Z,165800,4186051,2.8733333333333335,0,0.02666666666666667,0,0,0,0,0,0.006666666666666667,0.05333333333333334,0.013333333333333334,0,0.07333333333333333,0.07333333333333333,0.013333333333333334,0.04,0,0,0,0.006666666666666667,0.12,0,0,0,0.006666666666666667,0.02,0.08666666666666667,0,0.74,0,0,0,0.006666666666666667,0,0.006666666666666667,0,0.006666666666666667,0.006666666666666667,0.36,0,0,0,0,0.006666666666666667,0,0.02,0,0.013333333333333334,0,0,0.08,0,0,0.18666666666666668,0,0.006666666666666667,0,0.09333333333333334,0,0,0,0,0.02666666666666667,0.006666666666666667,0,0
PR900,2017-06-19T06:00:00Z,151515,4208819,3.1466666666666665,0,0,0,0,0.013333333333333334,0,0.013333333333333334,0,0,0,0,0,0,0.02,0,0,0,0,0,0.013333333333333334,0,0,0,0,0,0,0,0.7,0.03333333333333333,0,0,0,0,0,0,0,0,0.3933333333333333,0,0,0,0,0,0,0,0,0,0,0,0.06666666666666667,0,0,0.5133333333333333,0,0,0,0.02666666666666667,0,0,0,0,0.05333333333333334,0,0,0
PR400,2017-06-19T06:00:00Z,150630,4218624,3.473333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006666666666666667,0,0,0.44666666666666666,0.14,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0.09333333333333334,0,0,0,0,0,0,0,0,0,0.006666666666666667,0,0,0,0.07333333333333333,0,0,0
